Set Folder,File Name,Convergence,a,b,c,alpha,beta,gamma,Formula,Ga_count,N_count,Energy,Spacegroup
set_8,mp-2811-MoN-GaN,YES,6.019459401,6.019470827,5.111564565,90,90,120.0114777,Ga8N8,8,8,-88.71124292,P 21
set_8,mp-317-SnRh-GaN,YES,4.277212898,4.277212898,4.277212898,90,90,90,Ga4N4,4,4,-45.47796076,P 21 3
set_8,mp-2556-TlSn-GaN_swapped,YES,2.729186698,2.729186698,2.741732091,90,90,90,GaN,1,1,-9.11493519,P 4/m m m
set_8,mp-2548-PuAs-GaN_swapped_randomly_scaled,YES,3.025122543,6.045757866,3.025122543,59.97544487,60,59.97544487,Ga2N2,2,2,-22.74164076,R -3 m
set_8,mp-30379-GaAu-GaN_swapped,YES,3.238453596,7.368427391,5.66297605,90,90,90,Ga4N4,4,4,-45.20783296,P n m a
set_8,mp-2566-PuSb-GaN,YES,3.023381498,3.023381498,3.023381498,60,60,60,GaN,1,1,-11.36006812,F m -3 m
set_8,mp-24669-CrH-GaN_swapped_randomly_scaled,YES,6.442958196,3.221558039,5.249063899,90,90,120.0008106,Ga4N4,4,4,-48.24907009,P 21
set_8,mp-23177-HgBr-GaN,YES,3.947115322,3.947115322,6.103851612,108.767821,108.767821,90.50560701,Ga2N2,2,2,-21.18379843,C 2/m
set_8,mp-2350-LaS-GaN_swapped_randomly_scaled,YES,3.025254826,6.045948397,3.025254826,59.97504047,60,59.97504047,Ga2N2,2,2,-22.74164882,R -3 m
set_8,mp-23870-NaH-GaN_randomly_scaled,YES,3.025824437,3.025824437,6.051646698,59.9999881,59.9999881,60,Ga2N2,2,2,-22.72271403,F m -3 m
set_8,mp-2857-ScN-GaN_swapped_randomly_scaled,YES,6.05128454,3.025473465,3.025473465,60,60.00184555,60.00184555,Ga2N2,2,2,-22.71621444,R -3 m
set_8,mp-23302-RbI-GaN,YES,2.745452801,2.745452801,2.745452801,90,90,90,GaN,1,1,-9.01080357,P m -3 m
set_8,mp-2415538-MgZn-GaN,YES,5.193288661,5.193288661,2.968365923,90,90,122.8430433,Ga3N3,3,3,-34.57158161,A m m 2
set_8,mp-28893-ReB-GaN,YES,8.514558581,8.513867987,8.515857547,93.06863949,93.07273701,153.3783824,Ga8N8,8,8,-83.31926858,P -1
set_8,mp-23193-KCl-GaN,YES,3.023515307,3.023515307,3.023515307,60,60,60,GaN,1,1,-11.3600447,F m -3 m
set_8,mp-2488-SiOs-GaN,YES,4.58745159,4.58745159,4.58745159,90,90,90,Ga4N4,4,4,-48.62499152,P 21 3
set_8,mp-2640-TbAs-GaN_swapped_randomly_scaled,YES,3.025636541,6.047811507,3.025636541,59.9810644,60,59.9810644,Ga2N2,2,2,-22.74161376,R -3 m
